"Number","RegionKo","RegionEn","SportKo","SportEn","Color","File"
"60","정선","JEONGSEON","육상","ATHLETICS","#B94E32","60-jeongseon-athletics.svg"
"61","철원","CHEORWON","산악","MOUNTAIN","#2F6B4F","61-cheorwon-mountain.svg"
"62","철원","CHEORWON","수상","WATER","#2E78B7","62-cheorwon-water.svg"
"63","철원","CHEORWON","설상","SNOW","#5C9FCB","63-cheorwon-snow.svg"
"64","철원","CHEORWON","올림픽","OLYMPIC","#7A58A6","64-cheorwon-olympic.svg"
"65","철원","CHEORWON","육상","ATHLETICS","#B94E32","65-cheorwon-athletics.svg"
"66","화천","HWACHEON","산악","MOUNTAIN","#2F6B4F","66-hwacheon-mountain.svg"
"67","화천","HWACHEON","수상","WATER","#2E78B7","67-hwacheon-water.svg"
"68","화천","HWACHEON","설상","SNOW","#5C9FCB","68-hwacheon-snow.svg"
"69","화천","HWACHEON","올림픽","OLYMPIC","#7A58A6","69-hwacheon-olympic.svg"
"70","화천","HWACHEON","육상","ATHLETICS","#B94E32","70-hwacheon-athletics.svg"
"71","양구","YANGGU","산악","MOUNTAIN","#2F6B4F","71-yanggu-mountain.svg"
"72","양구","YANGGU","수상","WATER","#2E78B7","72-yanggu-water.svg"
"73","양구","YANGGU","설상","SNOW","#5C9FCB","73-yanggu-snow.svg"
"74","양구","YANGGU","올림픽","OLYMPIC","#7A58A6","74-yanggu-olympic.svg"
"75","양구","YANGGU","육상","ATHLETICS","#B94E32","75-yanggu-athletics.svg"
"76","인제","INJE","산악","MOUNTAIN","#2F6B4F","76-inje-mountain.svg"
"77","인제","INJE","수상","WATER","#2E78B7","77-inje-water.svg"
"78","인제","INJE","설상","SNOW","#5C9FCB","78-inje-snow.svg"
"79","인제","INJE","올림픽","OLYMPIC","#7A58A6","79-inje-olympic.svg"
"80","인제","INJE","육상","ATHLETICS","#B94E32","80-inje-athletics.svg"
"81","고성","GOSEONG","산악","MOUNTAIN","#2F6B4F","81-goseong-mountain.svg"
"82","고성","GOSEONG","수상","WATER","#2E78B7","82-goseong-water.svg"
"83","고성","GOSEONG","설상","SNOW","#5C9FCB","83-goseong-snow.svg"
"84","고성","GOSEONG","올림픽","OLYMPIC","#7A58A6","84-goseong-olympic.svg"
"85","고성","GOSEONG","육상","ATHLETICS","#B94E32","85-goseong-athletics.svg"
"86","양양","YANGYANG","산악","MOUNTAIN","#2F6B4F","86-yangyang-mountain.svg"
"87","양양","YANGYANG","수상","WATER","#2E78B7","87-yangyang-water.svg"
"88","양양","YANGYANG","설상","SNOW","#5C9FCB","88-yangyang-snow.svg"
"89","양양","YANGYANG","올림픽","OLYMPIC","#7A58A6","89-yangyang-olympic.svg"
"90","양양","YANGYANG","육상","ATHLETICS","#B94E32","90-yangyang-athletics.svg"
